"Results from the British Library's Shine interface, (webarchive.org.uk/shine), on 02/08/2022."
"Search Summary: Search Term(s): ""Olympic legacy"", Crawl Year: (Include) ""2013"", Domain: (Include) ""guardian.co.uk"""
Title, Host, Public Suffix, Crawl Year, Content Type, Content Language, Crawl Date, URL, Wayback Date, URL
"Politics: Reality check | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 05:16:49","http://web.archive.org/web/20130102051649/http://www.guardian.co.uk/politics/reality-check/rss","20130102051649","http://www.guardian.co.uk/politics/reality-check/rss" 
"Sport: Olympic Games 2012 | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 05:32:34","http://web.archive.org/web/20130102053234/http://www.guardian.co.uk/sport/olympics-2012/rss","20130102053234","http://www.guardian.co.uk/sport/olympics-2012/rss" 
"Sport: Olympic Games 2012 | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 05:46:02","http://web.archive.org/web/20130102054602/http://www.guardian.co.uk/sport/olympics-2012/rss","20130102054602","http://www.guardian.co.uk/sport/olympics-2012/rss" 
"London 2012 Olympics | Olympic Games 2012 news | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 05:55:42","http://web.archive.org/web/20130102055542/http://www.guardian.co.uk/sport/olympics-2012","20130102055542","http://www.guardian.co.uk/sport/olympics-2012" 
"Paralympics 2012 | Sport | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 05:56:47","http://web.archive.org/web/20130102055647/http://www.guardian.co.uk/sport/paralympics-2012","20130102055647","http://www.guardian.co.uk/sport/paralympics-2012" 
"Film: Daniel Craig | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 07:02:03","http://web.archive.org/web/20130102070203/http://www.guardian.co.uk/film/danielcraig/rss","20130102070203","http://www.guardian.co.uk/film/danielcraig/rss" 
"Harry Venning | The Guardian","www.guardian.co.uk","co.uk","2013","html","en","2013-01-02 08:41:47","http://web.archive.org/web/20130102084147/http://www.guardian.co.uk/profile/harryvenning","20130102084147","http://www.guardian.co.uk/profile/harryvenning" 
"Society: Social housing | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 08:56:02","http://web.archive.org/web/20130102085602/http://www.guardian.co.uk/society/social-housing/rss","20130102085602","http://www.guardian.co.uk/society/social-housing/rss" 
"Society: Obesity | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 09:00:26","http://web.archive.org/web/20130102090026/http://www.guardian.co.uk/society/obesity/rss","20130102090026","http://www.guardian.co.uk/society/obesity/rss" 
"Housing Network | guardian.co.uk","www.guardian.co.uk","co.uk","2013","other","en","2013-01-02 10:57:12","http://web.archive.org/web/20130102105712/http://www.guardian.co.uk/housing-network/rss","20130102105712","http://www.guardian.co.uk/housing-network/rss" 
