source,target,type
b2_05,personb20501,undirected
b2_05,Q180081,undirected
b2_05,Q43216,undirected
b2_05,Q44233,undirected
b2_05,Q193800,undirected
b2_05,Q193800,undirected
b2_05,Q47154,undirected
b2_05,Q7198,undirected
b2_05,Q346665,undirected
b2_05,Q137727373,undirected
b2_05,Q859,undirected
b2_05,Q363375,undirected
b2_05,Q348926,undirected
b2_05,Q2253,undirected
b2_05,Q2253,undirected
b2_05,Q2039,undirected
b2_05,Q1398,undirected
b2_05,Q200441,undirected
b2_05,Q17167,undirected
b3_01,Q4531268,undirected
b3_01,Q43423,undirected
b3_01,Q200401,undirected
b3_01,Q204760,undirected
b3_01,Q45581,undirected
b3_01,Q68880,undirected
b3_01,Q53436,undirected
b3_01,Q53436,undirected
b3_01,Q1063034,undirected
b3_01,Q1541,undirected
b3_01,Q1541,undirected
b3_01,Q1541,undirected
b3_01,Q1541,undirected
b3_01,Q1541,undirected
b3_01,Q82339,undirected
b3_01,Q2998641,undirected
b3_01,Q5215660,undirected
b3_01,Q59138,undirected
b3_01,Q190436,undirected
b3_01,Q190436,undirected
b3_01,Q190436,undirected
b3_01,Q297366,undirected
b3_01,Q1196109,undirected
b3_01,Q468608,undirected
b3_01,Q313700,undirected
b3_01,Q936976,undirected
b3_01,Q314447,undirected
b3_01,Q3175603,undirected
b3_01,Q92172807,undirected
b3_01,Q188646,undirected
b3_01,Q171083,undirected
b3_01,Q1215588,undirected
b3_01,Q1215588,undirected
b3_01,Q47154,undirected
b3_01,Q32133,undirected
b3_01,Q34503,undirected
b3_01,Q96261,undirected
b3_01,Q7198,undirected
b3_01,Q3381039,undirected
b3_01,Q859,undirected
b3_01,Q41523,undirected
b3_01,Q125414,undirected
b3_01,Q8827,undirected
b3_01,Q214765,undirected
b3_01,Q3631240,undirected
b3_01,Q172353,undirected
b3_01,Q10261,undirected
b3_01,Q3027239,undirected
b3_01,Q2054,undirected
b3_01,Q913,undirected
b3_01,Q483783,undirected
b3_01,Q2161,undirected
b3_01,Q172048,undirected
b3_01,Q1407,undirected
b3_01,Q451587,undirected
b3_01,Q451587,undirected
b3_01,Q451587,undirected
b3_01,Q2039,undirected
b3_01,Q2039,undirected
b3_01,Q311733,undirected
b3_01,Q218186,undirected
b3_01,Q311291,undirected
b3_01,Q311291,undirected
b3_01,Q11768,undirected
b3_01,Q4420718,undirected
b3_01,Q1333383,undirected
b3_01,Q75459,undirected
b3_01,Q62646,undirected
b3_01,Q83958,undirected
b3_01,Q17167,undirected
b3_01,Q17167,undirected
b3_01,Q17167,undirected
b3_01,Q7507516,undirected
b3_01,Q41741,undirected
b3_01,Q945288,undirected
b3_02,Q271850,undirected
b3_02,Q8409,undirected
b3_02,Q8409,undirected
b3_02,Q8409,undirected
b3_02,Q179149,undirected
b3_02,Q868,undirected
b3_02,Q365977,undirected
b3_02,Q180081,undirected
b3_02,Q1541,undirected
b3_02,Q211430,undirected
b3_02,Q43499,undirected
b3_02,Q5683,undirected
