id,label,type,book
Q844930,Classical Athens,place,
Q651968,Cormicy,place,
Q14112,Corsica,place,
Q173148,Delos,place,
Q75459,Delphi,place,
Q304413,Diyala River,place,
Q213137,East Indies,place,
Q1268859,Eion,place,
Q11266977,Epirus,place,
Q173096,Euboea,place,
Q46,Europe,place,
Q142,France,place,
Q191085,Gascony,place,
Q47492,Gaza City,place,
Q62646,Germania,place,
Q170488,Gozo,place,
Q849324,Guyenne,place,
Q1572529,Hanthawaddy Kingdom,place,
Q48726,Hyrcania,place,
Q214109,Kea,place,
Q838931,Kingdom of Italy,place,
Q1348,Kolkata,place,
Q332034,La Fère,place,
Q3992,Liège,place,
Q45656,Limoges,place,
Q1075988,Louvre Palace,place,
Q83958,Macedonia,place,
Q61089,Malacca,place,
Q1160195,Mantineia,place,
Q23482,Marseille,place,
Q490,Milan,place,
Q989650,Mount Algidus,place,
Q130321,Mount Athos,place,
Q28420030,Mouzon,place,
Q188527,Naxos Island,place,
Q127834,New World,place,
Q3392,Nile,place,
Q3343437,Nora,place,
Q12560,Ottoman Empire,place,
Q90,Paris,place,
Q78967,Peloponnese,place,
Q3437,Perugia,place,
Q32579,Phrygia,place,
Q2107419,Praeneste,place,
Q18440294,Puy,place,
Q1076321,Rancon,place,
Q8471,Reggio Calabria,place,
Q13360,Reggio Emilia,place,
Q4948,Republic of Venice,place,
Q17167,Roman Republic,place,
Q7507516,Sicily,place,
Q29,Spain,place,
Q5690,Sparta,place,
Q204127,Struma,place,
Q19151,Ternate,place,
Q11225429,Thebes,place,
Q41741,Thrace,place,
Q7880,Toulouse,place,
Q3376,Trento,place,
Q495,Turin,place,
Q2028,Verona,place,
Q1584,Weinsberg,place,
Q945288,Wiślica,place,
